year,month,temp
1950,1,32.7
1950,2,31.5
1950,3,30.9
1950,4,27.2
1950,5,21.1
1950,6,19.2
1950,7,18
1950,8,18.9
1950,9,19.7
1950,10,21.2
1950,11,23.3
1950,12,27.6
1951,1,28.2
1951,2,29.5
1951,3,29.4
1951,4,24.2
1951,5,20.1
1951,6,17.8
1951,7,17.1
1951,8,17.4
1951,9,21
1951,10,22.3
1951,11,25.1
1951,12,26.9
1952,1,31.3
1952,2,30.9
1952,3,29.5
1952,4,26.4
1952,5,20.5
1952,6,19.1
1952,7,16.7
1952,8,18.6
1952,9,19.4
1952,10,21.5
1952,11,23.8
1952,12,25.7
1953,1,30.4
1953,2,29.3
1953,3,28.8
1953,4,25.3
1953,5,21.3
1953,6,17.8
1953,7,17.5
1953,8,18.1
1953,9,20.9
1953,10,20.7
1953,11,24.2
1953,12,26.8
1954,1,31
1954,2,31.9
1954,3,27.9
1954,4,24.2
1954,5,20.8
1954,6,18.3
1954,7,17.8
1954,8,18.3
1954,9,21.4
1954,10,23.9
1954,11,22.3
1954,12,27.9
1955,1,31.9
1955,2,32
1955,3,29.7
1955,4,23.8
1955,5,19.8
1955,6,17
1955,7,17.6
1955,8,17.3
1955,9,19.2
1955,10,19.7
1955,11,24.6
1955,12,28.5
1956,1,33.8
1956,2,31.4
1956,3,30.1
1956,4,24.3
1956,5,19.4
1956,6,16.9
1956,7,16.7
1956,8,17.5
1956,9,20.6
1956,10,21
1956,11,25.9
1956,12,27.1
1957,1,31.5
1957,2,31.1
1957,3,29
1957,4,24.4
1957,5,22.3
1957,6,18.5
1957,7,16.8
1957,8,18.6
1957,9,19.8
1957,10,23
1957,11,27
1957,12,29.6
1958,1,33.1
1958,2,31.5
1958,3,30.1
1958,4,25.3
1958,5,21.9
1958,6,18.8
1958,7,16.8
1958,8,18.3
1958,9,19.4
1958,10,21.3
1958,11,27.2
1958,12,31.3
1959,1,30.1
1959,2,31.8
1959,3,30.4
1959,4,24.6
1959,5,22.6
1959,6,19.7
1959,7,19.7
1959,8,20.2
1959,9,21
1959,10,22.3
1959,11,26.4
1959,12,27.8
1960,1,28.2
1960,2,31.2
1960,3,26.6
1960,4,23.6
1960,5,19.9
1960,6,18.2
1960,7,16.4
1960,8,17.7
1960,9,19.7
1960,10,23.7
1960,11,26.7
1960,12,30.2
1961,1,34.3
1961,2,32.6
1961,3,29.6
1961,4,22.8
1961,5,23
1961,6,19.2
1961,7,17.6
1961,8,18.3
1961,9,21.8
1961,10,23.8
1961,11,27.5
1961,12,29.6
1962,1,35.6
1962,2,32.6
1962,3,28.1
1962,4,27.2
1962,5,23.7
1962,6,19.5
1962,7,17.9
1962,8,19.3
1962,9,19.9
1962,10,20.4
1962,11,25.1
1962,12,30.3
1963,1,31.5
1963,2,31.2
1963,3,30.5
1963,4,25.5
1963,5,20.4
1963,6,17.6
1963,7,17
1963,8,18
1963,9,20
1963,10,23.6
1963,11,26.7
1963,12,28.7
1964,1,30.6
1964,2,30.4
1964,3,29.2
1964,4,22.7
1964,5,21.4
1964,6,19.2
1964,7,17.4
1964,8,18.5
1964,9,18.2
1964,10,20
1964,11,24.2
1964,12,27.4
1965,1,32.1
1965,2,30.7
1965,3,29.2
1965,4,25.9
1965,5,20.5
1965,6,18.1
1965,7,17.2
1965,8,17.5
1965,9,19.1
1965,10,22.2
1965,11,23.5
1965,12,29.8
1966,1,31.1
1966,2,29.5
1966,3,28.6
1966,4,23.1
1966,5,21.4
1966,6,17.4
1966,7,17.1
1966,8,18.1
1966,9,18.1
1966,10,22.1
1966,11,25.8
1966,12,28.8
1967,1,31.6
1967,2,33.1
1967,3,28.5
1967,4,25.1
1967,5,20.6
1967,6,19.5
1967,7,16.9
1967,8,17.3
1967,9,21
1967,10,23.6
1967,11,25.3
1967,12,28.4
1968,1,30.5
1968,2,29.1
1968,3,26.1
1968,4,21.2
1968,5,19.7
1968,6,17.4
1968,7,17.4
1968,8,16.3
1968,9,18.3
1968,10,21.4
1968,11,23.7
1968,12,28.2
1969,1,28.7
1969,2,31.6
1969,3,28.1
1969,4,25
1969,5,20.9
1969,6,19.2
1969,7,18.1
1969,8,18.2
1969,9,20.1
1969,10,26.6
1969,11,27.4
1969,12,29.4
1970,1,29.3
1970,2,32.3
1970,3,29.9
1970,4,23.8
1970,5,20.9
1970,6,18.3
1970,7,18.6
1970,8,18.2
1970,9,19.1
1970,10,22.6
1970,11,25
1970,12,30.2
1971,1,29.4
1971,2,29.6
1971,3,28.4
1971,4,24.2
1971,5,21.2
1971,6,19.4
1971,7,18.3
1971,8,17.7
1971,9,18.2
1971,10,20.1
1971,11,22.1
1971,12,28.1
1972,1,32.7
1972,2,34.9
1972,3,31
1972,4,26.3
1972,5,24.4
1972,6,19.5
1972,7,17.5
1972,8,17.5
1972,9,20.5
1972,10,22.9
1972,11,28.1
1972,12,31.6
1973,1,32.2
1973,2,30.2
1973,3,29.6
1973,4,25.2
1973,5,20.9
1973,6,17
1973,7,17.7
1973,8,17.7
1973,9,18.7
1973,10,22
1973,11,26.1
1973,12,28.7
1974,1,34.2
1974,2,31.1
1974,3,30.8
1974,4,23.8
1974,5,20.6
1974,6,18.6
1974,7,17.2
1974,8,18.2
1974,9,21.2
1974,10,21
1974,11,24.7
1974,12,29.5
1975,1,30.2
1975,2,34.5
1975,3,28.4
1975,4,24
1975,5,21.8
1975,6,19.4
1975,7,18.2
1975,8,18.3
1975,9,19.9
1975,10,22
1975,11,24.9
1975,12,30.7
1976,1,30.8
1976,2,33.8
1976,3,31
1976,4,26.5
1976,5,22.9
1976,6,19.6
1976,7,19.5
1976,8,18.8
1976,9,20.7
1976,10,23.5
1976,11,24
1976,12,28.4
1977,1,32.1
1977,2,33.7
1977,3,28.3
1977,4,27.8
1977,5,21
1977,6,19.5
1977,7,19.4
1977,8,18.9
1977,9,19.9
1977,10,22.7
1977,11,26.3
1977,12,31.6
1978,1,34
1978,2,33
1978,3,32
1978,4,28
1978,5,21.6
1978,6,18
1978,7,16.9
1978,8,19.4
1978,9,19.2
1978,10,23.1
1978,11,27.1
1978,12,29.7
1979,1,31
1979,2,31.6
1979,3,29.7
1979,4,24.5
1979,5,21.1
1979,6,19.2
1979,7,18.2
1979,8,17.5
1979,9,19.1
1979,10,22.9
1979,11,25.6
1979,12,30.6
1980,1,34
1980,2,31.9
1980,3,31.1
1980,4,23.5
1980,5,22
1980,6,17.8
1980,7,17.5
1980,8,18.7
1980,9,19.7
1980,10,20.5
1980,11,24.4
1980,12,28
1981,1,33.4
1981,2,29.4
1981,3,29.9
1981,4,26.6
1981,5,22.2
1981,6,16.8
1981,7,17.3
1981,8,17.6
1981,9,20.7
1981,10,23
1981,11,23.4
1981,12,27.9
1982,1,29.4
1982,2,32.6
1982,3,28.4
1982,4,26
1982,5,21.2
1982,6,18.5
1982,7,17.7
1982,8,19.3
1982,9,20.4
1982,10,23.7
1982,11,28.2
1982,12,28.5
1983,1,33
